index;id;x;y;lote;quadra;idLote;idQuadra
2389;683;255255;7240890;L3203;Q34;13;1
2390;684;255255;7240905;L3203;Q34;13;1
2391;685;255255;7240920;L3203;Q34;13;1
2392;686;255255;7240935;L3203;Q34;13;1
2393;687;255255;7240950;L3203;Q34;13;1
2394;688;255255;7240965;L3203;Q34;13;1
2395;689;255270;7240860;L3203;Q34;13;1
2396;690;255270;7240875;L3203;Q34;13;1
2397;691;255270;7240890;L3203;Q34;13;1
2398;692;255270;7240905;L3203;Q34;13;1
2399;693;255270;7240920;L3203;Q34;13;1
2400;694;255270;7240935;L3203;Q34;13;1
2401;695;255270;7240950;L3203;Q34;13;1
2402;696;255270;7240965;L3203;Q34;13;1
2403;697;255285;7240860;L3203;Q34;13;1
2404;698;255285;7240875;L3203;Q34;13;1
2405;699;255285;7240890;L3203;Q34;13;1
2406;700;255285;7240905;L3203;Q34;13;1
2407;702;255285;7240935;L3203;Q34;13;1
2408;703;255285;7240950;L3203;Q34;13;1
2409;704;255285;7240965;L3203;Q34;13;1
2410;705;255300;7240860;L3203;Q34;13;1
2411;706;255300;7240875;L3203;Q34;13;1
2412;707;255300;7240890;L3203;Q34;13;1
2413;708;255300;7240905;L3203;Q34;13;1
2414;709;255300;7240920;L3203;Q34;13;1
2415;710;255300;7240935;L3203;Q34;13;1
2416;711;255300;7240950;L3203;Q34;13;1
2417;712;255300;7240965;L3203;Q34;13;1
2418;713;255315;7240860;L3203;Q34;13;1
2419;714;255315;7240875;L3203;Q34;13;1
2420;715;255315;7240890;L3203;Q34;13;1
2421;716;255315;7240905;L3203;Q34;13;1
2422;717;255315;7240920;L3203;Q34;13;1
2423;718;255315;7240935;L3203;Q34;13;1
2424;719;255315;7240950;L3203;Q34;13;1
2425;720;255315;7240965;L3203;Q34;13;1
2426;721;255330;7240860;L3203;Q34;13;1
2427;722;255330;7240875;L3203;Q34;13;1
2428;723;255330;7240890;L3203;Q34;13;1
2429;724;255330;7240905;L3203;Q34;13;1
2430;725;255330;7240920;L3203;Q34;13;1
2431;726;255330;7240935;L3203;Q34;13;1
2432;727;255330;7240950;L3203;Q34;13;1
2433;728;255330;7240965;L3203;Q34;13;1
2434;746;255285;7240995;L3204;Q34;14;1
2442;737;255255;7241100;L3204;Q34;14;1
2455;751;255285;7241070;L3204;Q34;14;1
2461;757;255300;7241040;L3204;Q34;14;1
2478;806;255315;7241160;L3205;Q34;15;1
2483;776;255255;7241190;L3205;Q34;15;1
2497;785;255270;7241205;L3205;Q34;15;1
2500;788;255285;7241130;L3205;Q34;15;1
2510;798;255300;7241160;L3205;Q34;15;1
2518;815;255255;7241310;L3206;Q34;16;1
2519;816;255255;7241325;L3206;Q34;16;1
2535;832;255285;7241325;L3206;Q34;16;1
2538;835;255285;7241370;L3206;Q34;16;1
2571;869;255255;7241520;L3207;Q34;17;1
2574;872;255270;7241445;L3207;Q34;17;1
2589;888;255300;7241445;L3207;Q34;17;1
2606;910;255240;7241655;L3208;Q34;18;1
2610;914;255255;7241595;L3208;Q34;18;1
2612;916;255255;7241625;L3208;Q34;18;1
2638;931;255285;7241610;L3208;Q34;18;1
2643;926;255270;7241655;L3208;Q34;18;1
2647;905;255240;7241580;L3208;Q34;18;1
2649;907;255240;7241610;L3208;Q34;18;1
2657;3758;255285;7241790;L3209;Q34;19;1
2660;3761;255300;7241715;L3209;Q34;19;1
2663;3764;255300;7241760;L3209;Q34;19;1
2668;3729;255240;7241715;L3209;Q34;19;1
2670;3731;255240;7241745;L3209;Q34;19;1
2690;3752;255285;7241700;L3209;Q34;19;1
2691;3194;255285;7241835;L3212;Q34;20;1
2692;3195;255300;7241835;L3212;Q34;20;1
2693;3196;255300;7241850;L3212;Q34;20;1
2694;1411;255360;7241760;L3288;Q34;21;1
2695;1399;255345;7241700;L3288;Q34;21;1
2696;1400;255345;7241715;L3288;Q34;21;1
2697;1401;255345;7241730;L3288;Q34;21;1
2698;1402;255345;7241745;L3288;Q34;21;1
2699;1403;255345;7241760;L3288;Q34;21;1
2700;1404;255345;7241775;L3288;Q34;21;1
2701;1405;255345;7241790;L3288;Q34;21;1
2702;1406;255345;7241805;L3288;Q34;21;1
2703;1407;255360;7241700;L3288;Q34;21;1
2704;1408;255360;7241715;L3288;Q34;21;1
2705;1409;255360;7241730;L3288;Q34;21;1
2706;1410;255360;7241745;L3288;Q34;21;1
2707;1429;255390;7241790;L3288;Q34;21;1
2708;1430;255390;7241805;L3288;Q34;21;1
2709;1431;255405;7241700;L3288;Q34;21;1
2710;1432;255405;7241715;L3288;Q34;21;1
2711;1433;255405;7241730;L3288;Q34;21;1
2712;1434;255405;7241745;L3288;Q34;21;1
2713;1435;255405;7241760;L3288;Q34;21;1
2714;1436;255405;7241775;L3288;Q34;21;1
2715;1437;255405;7241790;L3288;Q34;21;1
2716;1438;255405;7241805;L3288;Q34;21;1
2717;1427;255390;7241760;L3288;Q34;21;1
2718;1428;255390;7241775;L3288;Q34;21;1
2719;1426;255390;7241745;L3288;Q34;21;1
2720;1425;255390;7241730;L3288;Q34;21;1
2721;1424;255390;7241715;L3288;Q34;21;1
2722;1423;255390;7241700;L3288;Q34;21;1
2723;1422;255375;7241805;L3288;Q34;21;1
2724;1421;255375;7241790;L3288;Q34;21;1
2725;1420;255375;7241775;L3288;Q34;21;1
2726;1419;255375;7241760;L3288;Q34;21;1
2727;1418;255375;7241745;L3288;Q34;21;1
2728;1417;255375;7241730;L3288;Q34;21;1
2729;1416;255375;7241715;L3288;Q34;21;1
2730;1414;255360;7241805;L3288;Q34;21;1
2731;1415;255375;7241700;L3288;Q34;21;1
2732;1413;255360;7241790;L3288;Q34;21;1
2733;1412;255360;7241775;L3288;Q34;21;1
2751;18;255375;7241565;L3289;Q34;22;1
2753;20;255375;7241595;L3289;Q34;22;1
2757;24;255375;7241655;L3289;Q34;22;1
2793;1497;255375;7241475;L3290;Q34;23;1
2805;1485;255360;7241415;L3290;Q34;23;1
2814;1518;255345;7241280;L3291;Q34;24;1
